nigeria,NA,NA,NA,NA,NA,NA,50,NA,NA,250,50,75,250,500,NA,500,500,750,500,500,NA,NA
north korea,40000,NA,NA,NA,NA,NA,1200000,NA,NA,NA,NA,1300000,NA,NA,1600000,NA,NA,1600000,NA,NA,NA,NA
"north korea (""democratic people's republic of korea"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,1311563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
north vietnam,NA,NA,NA,NA,NA,NA,620000,NA,NA,NA,NA,570000,NA,NA,766000,NA,NA,1100000,NA,NA,NA,1100000
"north vietnam (""democratic republic of vietnam"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,650000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
north yemen,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,50,NA,NA,50,NA,NA,0,NA,NA,NA,NA
northern rhodesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
norway,33000,NA,NA,NA,NA,NA,4700,NA,NA,4500,4500,4500,2500,2500,2500,2500,2500,2500,2250,2500,3000,3500
nyasaland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"outer mongolia (""mongolian people's republic"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,46000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pakistan,NA,NA,NA,NA,NA,NA,4250,NA,NA,3300,3000,3000,3250,3250,1450,1450,1450,2225,1750,0,NA,0
palestine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA
panama,500,500,500,NA,NA,NA,175,150,150,275,400,433.3333333333333,500,375,250,250,190,208.33333333333334,375,500,437.5,500
paraguay,NA,1000,2000,500,500,500,500,5000,4000,3500,4250,5000,5000,5000,5000,4750,4500,4583.333333333333,4000,3500,3500,3500
people's democratic republic of korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000000
people's democratic republic of yemen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
